Vendor Name,Vendor Type,Contact Name,Phone Number,Email,Website,Quoted Amount,Is Booked,Date Booked,Street Address,City,State,Postal Code,Country,Notes
Grand Ballroom Events,Venue,Sarah Johnson,555-0101,sarah@grandballroom.com,https://grandballroom.com,15000,Yes,2024-01-15,123 Main Street,San Francisco,CA,94102,US,Beautiful historic venue with capacity for 200 guests
Elegant Eats Catering,Catering,Michael Chen,555-0102,michael@eleganteats.com,https://eleganteats.com,8500,Yes,2024-02-01,456 Oak Avenue,San Francisco,CA,94103,US,Full service catering with vegetarian and vegan options
Picture Perfect Photography,Photography,Emily Rodriguez,555-0103,emily@pictureperfect.com,https://pictureperfect.com,3500,Yes,2024-01-20,789 Pine Street,Oakland,CA,94607,US,Award-winning wedding photographer with 10 years experience
Cinematic Moments Video,Videography,David Kim,555-0104,david@cinematicmoments.com,https://cinematicmoments.com,4200,No,,321 Elm Drive,Berkeley,CA,94704,US,Drone footage and same-day edit available
Blooming Beautiful Florals,Florist,Jennifer Martinez,555-0105,jennifer@bloomingbeautiful.com,https://bloomingbeautiful.com,2800,Yes,2024-02-10,654 Rose Lane,San Francisco,CA,94110,US,Specializes in seasonal and sustainable flowers
DJ Soundwave Entertainment,Music,Robert Taylor,555-0106,rob@djsoundwave.com,https://djsoundwave.com,1500,No,,987 Beat Street,San Jose,CA,95110,US,Professional DJ with extensive music library
Glamour Hair & Makeup,Hair & Makeup,Amanda White,555-0107,amanda@glamourhm.com,https://glamourhm.com,800,Yes,2024-01-25,147 Beauty Boulevard,San Francisco,CA,94115,US,Bridal party packages available
Perfect Day Planning,Wedding Planner,Lisa Anderson,555-0108,lisa@perfectdayplanning.com,https://perfectdayplanning.com,5000,No,,258 Event Avenue,Palo Alto,CA,94301,US,Full service wedding coordination and day-of management
Luxury Limo Service,Transportation,James Wilson,555-0109,james@luxurylimo.com,https://luxurylimo.com,1200,No,,369 Drive Way,San Mateo,CA,94402,US,Classic cars and modern limousines available
Sweet Dreams Bakery,Bakery,Maria Garcia,555-0110,maria@sweetdreamsbakery.com,https://sweetdreamsbakery.com,650,Yes,2024-02-15,741 Sugar Street,San Francisco,CA,94112,US,Custom wedding cakes with tasting session included
Harmony String Quartet,Music,Thomas Brown,555-0111,thomas@harmonystringquartet.com,https://harmonystringquartet.com,2000,No,,852 Melody Lane,San Francisco,CA,94116,US,Classical music for ceremony and cocktail hour
Enchanted Lighting Design,Lighting,Patricia Davis,555-0112,patricia@enchantedlighting.com,https://enchantedlighting.com,1800,No,,963 Glow Avenue,Oakland,CA,94612,US,Uplighting and custom monogram projection
Vintage Photo Booth Co,Photo Booth,Christopher Lee,555-0113,chris@vintagephotobooth.com,https://vintagephotobooth.com,750,Yes,2024-02-20,159 Snapshot Street,Berkeley,CA,94705,US,Vintage and modern photo booth options with props
Vintage Photo Booth Co (TEST),Photo Booth,Christopher Lee (Test),555-0113,chris.test@vintagephotobooth.com,https://vintagephotobooth-test.com,750,Yes,2024-02-20,159 Snapshot Street,Berkeley,CA,94705,US,Vintage and modern photo booth options with props
